employee_id,first_name,last_name,annual_salary,start_date,education_level,exit_date,year_of_experience,job_title,company_mail,employment_type,termination_reason,department,state,employee_rating
3447,Mariela,Schultz,91334,26-May-20,Master's Degree,18-Jun-23,15,Area Sales Manager,mariela.schultz@bilearner.com,Part-Time,Involuntary,Sales,TX,3
3448,Angela,Molina,35318,1-Oct-19,Master's Degree,6-Nov-20,17,Area Sales Manager,angela.molina@bilearner.com,Full-Time,Retirement,Sales,TX,3
3449,Gerald,Preston,66954,10-May-23,PhD,27-May-23,11,Area Sales Manager,gerald.preston@bilearner.com,Contract,Involuntary,Sales,CO,5
3450,Reilly,Moyer,52499,1-Sep-20,PhD,4-Dec-22,10,Area Sales Manager,reilly.moyer@bilearner.com,Contract,Resignation,Sales,CO,2
3451,Carlee,French,44240,18-Feb-21,Master's Degree,11-Nov-22,15,Area Sales Manager,carlee.french@bilearner.com,Contract,Voluntary,Sales,CO,3
3452,Jaydon,Blackburn,53071,8-Nov-22,PhD,,8,Area Sales Manager,jaydon.blackburn@bilearner.com,Part-Time,,Sales,IN,2
3453,Bridger,Carter,75285,13-Oct-22,High School,,15,Area Sales Manager,bridger.carter@bilearner.com,Contract,,Sales,MA,4
3454,Leon,Beard,57262,11-Sep-22,PhD,,19,Area Sales Manager,leon.beard@bilearner.com,Full-Time,,IT/IS,KY,4
3455,Charity,Miranda,98370,29-Jun-21,Master's Degree,5-Jul-22,9,Area Sales Manager,charity.miranda@bilearner.com,Full-Time,Resignation,Sales,KY,4
3456,Axel,Howe,36106,6-Mar-23,Bachelor's Degree,,12,Area Sales Manager,axel.howe@bilearner.com,Full-Time,,Sales,KY,3
3457,Milton,Wall,61639,25-Sep-20,PhD,,17,Area Sales Manager,milton.wall@bilearner.com,Full-Time,,Sales,KY,3
3458,Cory,Robinson,58593,28-Apr-22,Master's Degree,24-May-23,10,Area Sales Manager,cory.robinson@bilearner.com,Contract,Voluntary,Sales,TX,3
3459,Saniya,Yu,80346,18-Apr-21,Bachelor's Degree,21-Jun-22,13,Area Sales Manager,saniya.yu@bilearner.com,Part-Time,Retirement,Sales,TX,2
3460,Alisa,James,94817,19-Feb-20,Bachelor's Degree,,6,Area Sales Manager,alisa.james@bilearner.com,Full-Time,,Sales,TX,3
3461,Lincoln,Compton,82854,18-Jul-19,PhD,1-Oct-21,19,Area Sales Manager,lincoln.compton@bilearner.com,Full-Time,Resignation,Sales,CO,1
3462,Aliana,Nolan,43832,13-Sep-18,High School,17-Sep-21,11,Area Sales Manager,aliana.nolan@bilearner.com,Contract,Involuntary,Sales,CO,3
3463,Kayden,Dodson,88074,30-Apr-20,Bachelor's Degree,18-Jul-21,9,Area Sales Manager,kayden.dodson@bilearner.com,Part-Time,Retirement,Sales,IN,1
3464,James,Duke,49673,3-Dec-18,PhD,9-Sep-22,16,Area Sales Manager,james.duke@bilearner.com,Contract,Involuntary,Sales,MA,5
3465,Willow,Stuart,37991,8-Nov-21,Bachelor's Degree,,19,Area Sales Manager,willow.stuart@bilearner.com,Full-Time,,Sales,MA,3
3466,Clayton,Walker,75259,13-Apr-22,Bachelor's Degree,10-Apr-23,14,Area Sales Manager,clayton.walker@bilearner.com,Part-Time,Retirement,IT/IS,KY,4
3467,Celia,Curtis,56440,6-May-20,PhD,,0,Area Sales Manager,celia.curtis@bilearner.com,Contract,,Sales,KY,1
3468,Valentin,Reilly,65869,9-Sep-19,PhD,,14,Area Sales Manager,valentin.reilly@bilearner.com,Contract,,Sales,KY,4
3469,Ryland,Shepherd,77257,29-Jul-20,PhD,5-Jan-23,8,Area Sales Manager,ryland.shepherd@bilearner.com,Contract,Resignation,Sales,TX,3
3470,Esteban,Gilbert,52012,14-Nov-18,PhD,28-Oct-19,5,Area Sales Manager,esteban.gilbert@bilearner.com,Contract,Retirement,Sales,TX,3
3471,Jonathan,Adkins,87904,29-Feb-20,High School,,19,Area Sales Manager,jonathan.adkins@bilearner.com,Part-Time,,Sales,TX,4
3472,Nevaeh,Soto,79163,15-Jan-23,Bachelor's Degree,,8,Area Sales Manager,nevaeh.soto@bilearner.com,Contract,,Sales,TX,4
3473,Chaim,Mata,99015,29-Jun-23,High School,,14,Area Sales Manager,chaim.mata@bilearner.com,Part-Time,,Sales,CO,2
3474,Arely,Patton,50437,9-Mar-20,PhD,,7,Area Sales Manager,arely.patton@bilearner.com,Full-Time,,Sales,CO,2
3475,Vance,Trujillo,86590,21-Sep-21,Master's Degree,13-Apr-23,4,Area Sales Manager,vance.trujillo@bilearner.com,Full-Time,Resignation,Sales,IN,2
3476,Charlie,Koch,94813,12-Jun-23,High School,6-Jul-23,10,Area Sales Manager,charlie.koch@bilearner.com,Part-Time,Voluntary,Sales,MA,2
3477,Sonny,Horne,68968,7-Apr-19,High School,,10,Area Sales Manager,sonny.horne@bilearner.com,Part-Time,,IT/IS,KY,2
3478,Thomas,Chandler,94840,17-Sep-18,Bachelor's Degree,9-Jan-19,7,Area Sales Manager,thomas.chandler@bilearner.com,Full-Time,Resignation,Sales,KY,2
3479,Sarai,Stone,30452,2-Aug-22,PhD,2-Apr-23,4,Area Sales Manager,sarai.stone@bilearner.com,Contract,Involuntary,Sales,TX,2
3480,Jerimiah,Harmon,89698,8-Sep-22,PhD,16-Oct-22,18,Area Sales Manager,jerimiah.harmon@bilearner.com,Full-Time,Retirement,Sales,TX,1
3481,Leland,Allen,36963,7-Mar-19,PhD,31-May-21,6,Area Sales Manager,leland.allen@bilearner.com,Full-Time,Voluntary,Sales,TX,4
3482,Cristal,Bolton,94864,29-Oct-19,Bachelor's Degree,7-Feb-21,9,Area Sales Manager,cristal.bolton@bilearner.com,Full-Time,Resignation,Sales,TX,2
3483,Jaslene,Harding,87952,26-Sep-21,Master's Degree,,13,Area Sales Manager,jaslene.harding@bilearner.com,Part-Time,,Sales,CO,1
3484,Albert,Gonzalez,94509,29-Aug-18,PhD,,7,Area Sales Manager,albert.gonzalez@bilearner.com,Part-Time,,Sales,CO,4
3485,Jaiden,Johnson,67090,26-Oct-21,PhD,,8,Area Sales Manager,jaiden.johnson@bilearner.com,Contract,,Sales,CO,5
3486,Brendon,Mcconnell,33553,31-Oct-22,Master's Degree,8-Jun-23,14,Area Sales Manager,brendon.mcconnell@bilearner.com,Part-Time,Involuntary,Sales,IN,4
3487,Kimora,Parsons,35324,15-Mar-23,Bachelor's Degree,,14,Area Sales Manager,kimora.parsons@bilearner.com,Contract,,Sales,KY,4
3488,Willie,Patterson,82807,9-Sep-22,Master's Degree,,14,Area Sales Manager,willie.patterson@bilearner.com,Contract,,Sales,KY,2
3489,Devyn,Powers,40114,4-Mar-22,Master's Degree,,0,Area Sales Manager,devyn.powers@bilearner.com,Part-Time,,Sales,TX,2
3490,Weston,Preston,63246,11-Feb-19,Bachelor's Degree,,14,Area Sales Manager,weston.preston@bilearner.com,Part-Time,,Sales,TX,2
3491,Lennon,Buchanan,95412,26-Jan-21,PhD,,14,Area Sales Manager,lennon.buchanan@bilearner.com,Contract,,Sales,TX,5
3492,Vicente,Merritt,58672,26-Nov-19,Master's Degree,,20,Area Sales Manager,vicente.merritt@bilearner.com,Full-Time,,Sales,CO,1
3493,Hugo,Clay,36021,15-Jul-19,High School,,18,Area Sales Manager,hugo.clay@bilearner.com,Full-Time,,Sales,CO,5
3494,Cohen,Raymond,33093,18-Jun-20,High School,,20,Area Sales Manager,cohen.raymond@bilearner.com,Contract,,Sales,CO,4
3495,Tia,Ellis,37140,22-Jun-23,Master's Degree,22-Jul-23,10,Area Sales Manager,tia.ellis@bilearner.com,Part-Time,Retirement,Sales,IN,4
3496,Aspen,Bentley,95676,2-Dec-21,High School,,6,Area Sales Manager,aspen.bentley@bilearner.com,Contract,,Sales,CA,5
3497,Graham,Rodriguez,54109,8-Dec-21,Master's Degree,,13,Area Sales Manager,graham.rodriguez@bilearner.com,Part-Time,,Sales,OR,1
3498,Joel,Mcmillan,88945,26-Apr-23,High School,22-Jun-23,5,Area Sales Manager,joel.mcmillan@bilearner.com,Full-Time,Voluntary,Sales,KY,2
3499,Maci,Frost,54055,25-Sep-18,Master's Degree,20-Dec-21,17,Area Sales Manager,maci.frost@bilearner.com,Part-Time,Involuntary,Sales,KY,5
3500,Nevaeh,Lucas,54757,20-Nov-18,PhD,21-Jun-20,4,Area Sales Manager,nevaeh.lucas@bilearner.com,Full-Time,Voluntary,Sales,TX,1
3501,Garrett,Zimmerman,57232,30-Aug-20,Bachelor's Degree,30-Aug-22,18,Area Sales Manager,garrett.zimmerman@bilearner.com,Part-Time,Retirement,Sales,TX,4
3502,Eugene,Marks,90276,1-Oct-19,PhD,,1,Area Sales Manager,eugene.marks@bilearner.com,Full-Time,,Sales,TX,1
3503,Geovanni,Pugh,89892,20-Jan-22,High School,,18,Area Sales Manager,geovanni.pugh@bilearner.com,Part-Time,,Sales,CO,4
3504,Javon,Kelley,65575,10-Oct-21,PhD,,20,Area Sales Manager,javon.kelley@bilearner.com,Full-Time,,Sales,CO,2
3505,Amaya,Hicks,92135,29-Aug-20,Bachelor's Degree,,2,Area Sales Manager,amaya.hicks@bilearner.com,Contract,,Sales,IN,1
3506,Laila,Woodard,37453,27-Aug-19,Bachelor's Degree,10-May-23,18,Area Sales Manager,laila.woodard@bilearner.com,Full-Time,Voluntary,Sales,IN,2
3507,Ivan,Huff,51338,25-Feb-21,PhD,7-Apr-23,0,Area Sales Manager,ivan.huff@bilearner.com,Full-Time,Retirement,Sales,CA,4
3508,Aidan,Harding,46332,13-Jul-21,PhD,,5,Area Sales Manager,aidan.harding@bilearner.com,Full-Time,,Sales,OR,5
3509,Cruz,Boyer,68558,14-Apr-21,High School,,3,Area Sales Manager,cruz.boyer@bilearner.com,Part-Time,,Sales,KY,2
3510,Raven,Koch,56333,10-Feb-20,Bachelor's Degree,,4,Area Sales Manager,raven.koch@bilearner.com,Part-Time,,Sales,KY,2
3511,Karli,Barker,71507,17-Aug-21,High School,31-Dec-21,17,Area Sales Manager,karli.barker@bilearner.com,Part-Time,Resignation,Sales,KY,4
3512,Tyrone,Sosa,97605,17-Apr-23,High School,22-Jun-23,7,Area Sales Manager,tyrone.sosa@bilearner.com,Contract,Voluntary,Sales,TX,2
3513,Damaris,Cisneros,74373,2-Sep-22,PhD,24-May-23,12,Area Sales Manager,damaris.cisneros@bilearner.com,Contract,Involuntary,Sales,TX,5
3514,Alexus,Estes,94408,15-Apr-20,PhD,,4,Area Sales Manager,alexus.estes@bilearner.com,Full-Time,,Sales,TX,1
3515,Kinsley,Flowers,82597,9-Mar-22,Bachelor's Degree,10-Dec-22,10,Area Sales Manager,kinsley.flowers@bilearner.com,Part-Time,Retirement,Sales,CO,4
3516,Deborah,Love,51290,7-Apr-22,PhD,22-Jan-23,18,Area Sales Manager,deborah.love@bilearner.com,Contract,Retirement,Sales,CO,5
3517,Milagros,Francis,96445,19-Feb-20,Bachelor's Degree,,8,Area Sales Manager,milagros.francis@bilearner.com,Part-Time,,Sales,IN,4
3518,Roberto,Michael,51993,10-Apr-21,Bachelor's Degree,4-Jul-22,17,Area Sales Manager,roberto.michael@bilearner.com,Contract,Involuntary,Sales,CA,2
3519,Elaine,Ewing,67886,19-Dec-21,High School,2-Mar-22,11,Area Sales Manager,elaine.ewing@bilearner.com,Part-Time,Resignation,Sales,CA,2
3520,Caiden,Munoz,70060,13-Dec-20,Master's Degree,13-Jan-23,7,Area Sales Manager,caiden.munoz@bilearner.com,Full-Time,Involuntary,Sales,ND,1
3521,Jocelyn,Bradford,38349,26-Feb-19,High School,,3,Area Sales Manager,jocelyn.bradford@bilearner.com,Contract,,Sales,KY,4
3522,Marques,Armstrong,36061,2-Mar-20,High School,,20,Area Sales Manager,marques.armstrong@bilearner.com,Full-Time,,Sales,KY,1
3523,Rohan,Chapman,59939,25-Jun-21,PhD,25-Aug-22,16,Area Sales Manager,rohan.chapman@bilearner.com,Full-Time,Resignation,Sales,KY,2
3524,Emmanuel,Franklin,74228,26-Jul-21,High School,4-May-22,12,Area Sales Manager,emmanuel.franklin@bilearner.com,Contract,Resignation,Sales,TX,2
3525,Clayton,Mccormick,52215,3-Jul-22,PhD,10-Jan-23,17,Area Sales Manager,clayton.mccormick@bilearner.com,Contract,Retirement,Sales,TX,2
3526,Darius,Krause,51928,15-Sep-22,Bachelor's Degree,,16,Area Sales Manager,darius.krause@bilearner.com,Full-Time,,Sales,TX,4
3527,Ahmed,Hawkins,66506,1-May-20,PhD,25-Feb-21,18,Area Sales Manager,ahmed.hawkins@bilearner.com,Full-Time,Retirement,Sales,CO,1
3528,Kymani,Benjamin,73093,13-Oct-22,PhD,,7,Area Sales Manager,kymani.benjamin@bilearner.com,Full-Time,,Sales,CO,2
3529,Callum,Mcdaniel,57972,3-Jan-20,PhD,24-Aug-20,3,Area Sales Manager,callum.mcdaniel@bilearner.com,Part-Time,Voluntary,Sales,IN,2
3530,Zariah,Black,89276,13-Nov-19,Master's Degree,,6,Area Sales Manager,zariah.black@bilearner.com,Full-Time,,Sales,CA,2
3531,Ronnie,Mayer,69992,17-Jun-23,PhD,,4,Area Sales Manager,ronnie.mayer@bilearner.com,Full-Time,,Sales,CA,1
3532,Marlon,Ford,56700,14-Oct-21,Master's Degree,,13,Area Sales Manager,marlon.ford@bilearner.com,Part-Time,,IT/IS,OR,1
3533,Slade,Griffith,64947,1-Jun-21,PhD,16-Jul-23,13,Area Sales Manager,slade.griffith@bilearner.com,Contract,Voluntary,Sales,ND,2
3534,Lee,Frye,75152,14-Sep-18,Master's Degree,,13,Area Sales Manager,lee.frye@bilearner.com,Full-Time,,Sales,KY,4
3535,Veronica,Rowe,36713,11-Dec-18,Bachelor's Degree,2-Jun-22,20,Area Sales Manager,veronica.rowe@bilearner.com,Full-Time,Retirement,Sales,KY,4
3536,Aylin,Berg,71693,6-Aug-22,Master's Degree,,0,Area Sales Manager,aylin.berg@bilearner.com,Contract,,Sales,GA,2
3537,Neveah,Rowe,53177,28-May-22,High School,24-Feb-23,11,Area Sales Manager,neveah.rowe@bilearner.com,Contract,Retirement,Sales,TX,2
3538,Keith,Baxter,92375,16-Jun-19,High School,5-Mar-22,10,Area Sales Manager,keith.baxter@bilearner.com,Part-Time,Resignation,Sales,TX,2
3539,Chaz,Bruce,55620,8-Dec-19,Bachelor's Degree,,16,Area Sales Manager,chaz.bruce@bilearner.com,Full-Time,,Sales,CO,5
3540,Maya,Mccann,85187,12-Mar-20,Master's Degree,9-Oct-22,11,Area Sales Manager,maya.mccann@bilearner.com,Full-Time,Retirement,Sales,CO,4
3541,Aaron,Weber,51003,6-Apr-20,PhD,24-Jul-23,1,Area Sales Manager,aaron.weber@bilearner.com,Full-Time,Involuntary,Sales,IN,2
3542,Ellie,Gill,76551,15-Apr-23,PhD,,14,Area Sales Manager,ellie.gill@bilearner.com,Contract,,Sales,IN,1
3543,Rayne,Kerr,94935,10-Nov-20,Bachelor's Degree,,6,Area Sales Manager,rayne.kerr@bilearner.com,Part-Time,,Sales,CA,2
3544,Samara,Mcbride,67339,29-Jun-23,PhD,9-Jul-23,8,Area Sales Manager,samara.mcbride@bilearner.com,Contract,Retirement,Sales,CA,2
3545,Ryann,Rubio,93327,7-Mar-22,Bachelor's Degree,,18,Area Sales Manager,ryann.rubio@bilearner.com,Full-Time,,IT/IS,OR,1
3546,Paris,Carr,64804,31-Jul-21,Bachelor's Degree,27-Jan-23,15,Area Sales Manager,paris.carr@bilearner.com,Full-Time,Voluntary,Sales,ND,1
3547,Adriel,Wiggins,56305,20-Jan-22,PhD,,4,Area Sales Manager,adriel.wiggins@bilearner.com,Contract,,Sales,KY,2
3548,Sanaa,Glass,74459,11-Jul-21,High School,10-Oct-22,15,Area Sales Manager,sanaa.glass@bilearner.com,Part-Time,Resignation,Sales,KY,1
3549,Ryan,Lynch,66666,15-Oct-18,High School,18-Oct-20,18,Area Sales Manager,ryan.lynch@bilearner.com,Full-Time,Retirement,Sales,GA,2
3550,Charlie,Atkinson,72895,26-Nov-21,PhD,14-Oct-22,3,Area Sales Manager,charlie.atkinson@bilearner.com,Part-Time,Resignation,Sales,TX,1
3551,Emery,Roach,82349,11-Aug-18,PhD,,5,Area Sales Manager,emery.roach@bilearner.com,Part-Time,,Sales,TX,4
3552,Harper,Ramos,51582,16-Feb-20,High School,3-Jun-20,8,Area Sales Manager,harper.ramos@bilearner.com,Full-Time,Retirement,Sales,CO,1
3553,Khalil,Mendez,41966,20-Jan-20,Master's Degree,,18,Area Sales Manager,khalil.mendez@bilearner.com,Contract,,Sales,CO,4
3554,Lizeth,Holland,80961,31-Mar-19,Bachelor's Degree,,8,Area Sales Manager,lizeth.holland@bilearner.com,Part-Time,,Sales,IN,1
3555,Matilda,Randall,78966,6-Jan-23,High School,7-May-23,0,Area Sales Manager,matilda.randall@bilearner.com,Full-Time,Resignation,Sales,IN,4
3556,Damien,Howe,86317,18-Jul-19,Master's Degree,15-Jan-20,0,Area Sales Manager,damien.howe@bilearner.com,Full-Time,Retirement,Sales,CA,2
3557,Nicholas,Obrien,31285,13-Feb-19,High School,,20,Area Sales Manager,nicholas.obrien@bilearner.com,Part-Time,,Sales,MA,2
3558,Mildred,Gentry,43680,30-Dec-18,Bachelor's Degree,,18,Production Technician I,mildred.gentry@bilearner.com,Part-Time,,Production       ,MA,1
3559,Wilson K,Adinolfi,79187,6-Nov-19,Bachelor's Degree,6-Sep-20,16,Production Technician I,wilson k.adinolfi@bilearner.com,Part-Time,Retirement,Production       ,MA,2
3560,Joanne,Handschiegl,85618,1-Jun-22,PhD,,18,Production Technician I,joanne.handschiegl@bilearner.com,Contract,,Production       ,MA,4
3561,Dianna,Blount,61725,28-Mar-23,Master's Degree,,15,Production Technician II,dianna.blount@bilearner.com,Part-Time,,Production       ,MA,5
3562,Jean,Crimmings,37976,21-May-19,Bachelor's Degree,5-Jan-23,5,Production Technician I,jean.crimmings@bilearner.com,Contract,Retirement,Production       ,MA,2
3563,Nore,Sadki,46654,1-Jan-19,PhD,,18,Production Technician I,nore.sadki@bilearner.com,Contract,,Production       ,MA,4
3564,Susan,Lundy,32382,26-Jan-19,Bachelor's Degree,2-Dec-20,4,Production Technician II,susan.lundy@bilearner.com,Full-Time,Resignation,Production       ,MA,1
3565,Kramer,Keatts,68263,11-Sep-21,High School,,16,Production Technician I,kramer.keatts@bilearner.com,Part-Time,,Production       ,MA,4
3566,Maliki,Moumanil,43028,26-Sep-21,Bachelor's Degree,,17,Production Technician II,maliki.moumanil@bilearner.com,Part-Time,,Production       ,MA,2
3567,Nader,Barton,51601,4-Mar-23,PhD,,1,Production Technician I,nader.barton@bilearner.com,Full-Time,,Production       ,MA,4
3568,Quinn,Rarrick,38922,11-Jul-23,Master's Degree,29-Jul-23,20,Production Technician I,quinn.rarrick@bilearner.com,Full-Time,Involuntary,Production       ,MA,2
3569,Beatrice,Chace,68647,9-Feb-19,Master's Degree,28-Aug-20,4,Production Technician I,beatrice.chace@bilearner.com,Part-Time,Involuntary,Production       ,MA,2
3570,Adrienne J,Homberger,31492,19-Apr-19,PhD,26-Oct-21,4,Production Technician II,adrienne j.homberger@bilearner.com,Full-Time,Voluntary,Production       ,MA,1
3571,Marilyn,Linares,81349,7-Jul-22,Bachelor's Degree,17-Jul-23,16,Production Technician I,marilyn.linares@bilearner.com,Part-Time,Resignation,Production       ,MA,4
3572,Timothy,Sullivan,70315,12-Mar-19,High School,19-May-20,18,Production Technician I,timothy.sullivan@bilearner.com,Contract,Retirement,Production       ,MA,5
3573,Jennifer,Medeiros,80251,9-Mar-20,Bachelor's Degree,17-Oct-21,12,Production Technician I,jennifer.medeiros@bilearner.com,Contract,Involuntary,Production       ,MA,4
3574,Anna,Von Massenbach,68744,18-May-21,Bachelor's Degree,4-Jan-22,20,Production Technician I,anna.von massenbach@bilearner.com,Contract,Involuntary,Production       ,MA,1
3575,George,Johnson,63419,28-Apr-21,Master's Degree,18-Jan-22,6,Production Technician I,george.johnson@bilearner.com,Part-Time,Resignation,Production       ,MA,5
3576,Angela,Erilus,72671,21-Jul-21,Master's Degree,26-Apr-23,15,Production Technician II,angela.erilus@bilearner.com,Full-Time,Voluntary,Production       ,MA,4
3577,Miguel,Estremera,58852,15-Sep-19,High School,,15,Production Technician I,miguel.estremera@bilearner.com,Part-Time,,Production       ,MA,4
3578,Clinton,Owad,44782,4-May-19,High School,,19,Production Technician I,clinton.owad@bilearner.com,Full-Time,,Production       ,MA,2
3579,Constance,Sloan,53003,20-May-21,PhD,,1,Production Technician II,constance.sloan@bilearner.com,Full-Time,,Production       ,MA,4
3580,Davion,Sanchez,46190,16-Dec-19,PhD,,1,Production Technician I,davion.sanchez@bilearner.com,Full-Time,,Production       ,MA,4
3581,Ross,Strickland,62473,20-Nov-20,PhD,1-May-23,17,Production Technician I,ross.strickland@bilearner.com,Full-Time,Voluntary,Production       ,MA,2
3582,Augustus,Drake,45742,19-Aug-20,High School,4-May-22,0,Production Technician I,augustus.drake@bilearner.com,Part-Time,Retirement,Production       ,MA,4
3583,Gracelyn,Huynh,62613,28-Apr-21,High School,18-Apr-22,0,Production Technician I,gracelyn.huynh@bilearner.com,Full-Time,Retirement,Production       ,MA,4
3584,Orlando,Armstrong,53424,14-Aug-20,High School,,17,Production Technician I,orlando.armstrong@bilearner.com,Contract,,Production       ,MA,4
3585,Edward,Everett,65579,22-Dec-21,High School,,4,Production Technician I,edward.everett@bilearner.com,Full-Time,,Production       ,MA,4
3586,Jaqueline,Terrell,54936,1-Feb-19,Bachelor's Degree,10-Feb-19,2,Production Technician I,jaqueline.terrell@bilearner.com,Part-Time,Resignation,Production       ,MA,2
3587,Quinn,Mccullough,92676,10-May-21,High School,17-Dec-21,0,Production Technician I,quinn.mccullough@bilearner.com,Full-Time,Resignation,Production       ,MA,2
3588,Selena,Greer,70483,25-Jun-19,Master's Degree,15-Aug-19,10,Production Technician I,selena.greer@bilearner.com,Full-Time,Retirement,Production       ,MA,2
3589,Giovani,Roy,79024,25-Apr-19,PhD,,6,Production Technician I,giovani.roy@bilearner.com,Contract,,Production       ,MA,1
3590,Dominik,Mullen,72968,25-Feb-21,Master's Degree,13-Oct-22,14,Production Technician I,dominik.mullen@bilearner.com,Part-Time,Retirement,Production       ,MA,4
3591,Abdullah,Ellison,82740,23-Nov-21,Master's Degree,29-May-23,15,Production Technician I,abdullah.ellison@bilearner.com,Contract,Voluntary,Production       ,MA,5
3592,Andre,Guzman,51272,5-Oct-21,High School,18-Jun-22,20,Production Technician I,andre.guzman@bilearner.com,Contract,Voluntary,Production       ,MA,3
3593,Brayden,Malone,77616,30-May-20,High School,,18,Production Technician I,brayden.malone@bilearner.com,Contract,,Production       ,MA,1
3594,Maribel,Morrison,38274,11-Dec-18,High School,,9,Production Technician I,maribel.morrison@bilearner.com,Part-Time,,Production       ,MA,1
3595,Fisher,Stafford,65763,22-Sep-20,Bachelor's Degree,14-Sep-22,18,Production Technician I,fisher.stafford@bilearner.com,Contract,Resignation,Production       ,MA,1
3596,Kellen,Medina,55185,28-Jul-19,Master's Degree,,6,Production Technician I,kellen.medina@bilearner.com,Part-Time,,Production       ,MA,2
3597,Brenton,Monroe,54540,6-Jun-20,High School,14-Apr-21,17,Production Technician II,brenton.monroe@bilearner.com,Contract,Retirement,Production       ,MA,1
3598,Derick,Rocha,82107,28-Sep-18,PhD,5-Aug-23,2,Production Technician II,derick.rocha@bilearner.com,Part-Time,Resignation,Production       ,MA,1
3599,Elaine,Weeks,51246,12-Apr-20,High School,,3,Production Technician II,elaine.weeks@bilearner.com,Part-Time,,Production       ,MA,2
3600,Marely,Dixon,87948,1-Nov-22,PhD,,2,Production Technician II,marely.dixon@bilearner.com,Contract,,Production       ,MA,2
3601,Keagan,Henson,40870,21-Nov-22,Bachelor's Degree,,12,Production Technician II,keagan.henson@bilearner.com,Part-Time,,Production       ,MA,5
3602,Helena,Davenport,82408,11-Apr-21,High School,24-May-23,20,Production Technician II,helena.davenport@bilearner.com,Full-Time,Involuntary,Production       ,MA,5
3603,Houston,Aguirre,67090,29-Nov-18,Master's Degree,21-Feb-19,1,Production Technician II,houston.aguirre@bilearner.com,Full-Time,Resignation,Production       ,MA,2
3604,Kane,Owen,40784,16-Jan-19,Bachelor's Degree,31-Aug-22,0,Production Technician II,kane.owen@bilearner.com,Part-Time,Resignation,Production       ,MA,4
3605,Emerson,Pitts,76446,18-Sep-19,Bachelor's Degree,,7,Production Technician I,emerson.pitts@bilearner.com,Contract,,Production       ,MA,4
